Word,Valence,Arousal,Dominance,Valence_Raw,Arousal_Raw,Dominance_Raw
abandon,-0.80,0.70,0.30,1.80,6.60,3.40
absolutely,0.18,0.68,0.62,5.72,6.44,5.96
accept,0.78,0.45,0.68,8.12,4.60,6.44
accomplish,0.82,0.60,0.74,8.28,5.80,6.92
achievement,0.85,0.65,0.76,8.40,6.20,7.08
afraid,-0.68,0.85,0.28,2.28,7.80,3.24
aggressive,-0.65,0.85,0.78,2.40,7.80,7.24
alarmed,-0.68,0.87,0.32,2.28,7.96,3.56
amazed,0.60,0.82,0.55,7.40,7.56,5.40
amazing,0.91,0.82,0.74,8.64,7.56,6.92
angry,-0.72,0.88,0.72,2.12,8.04,6.76
annoyed,-0.52,0.62,0.55,2.92,5.96,5.40
anxious,-0.62,0.82,0.38,2.52,7.56,4.04
appreciate,0.84,0.50,0.67,8.36,5.00,6.36
ashamed,-0.75,0.65,0.35,2.00,6.20,3.80
awful,-0.80,0.65,0.34,1.80,6.20,3.72
bad,-0.68,0.52,0.42,2.28,5.16,4.36
beautiful,0.88,0.55,0.68,8.52,5.40,6.44
belong,0.75,0.42,0.65,8.00,4.36,6.20
betray,-0.82,0.78,0.38,1.72,7.24,4.04
bitter,-0.70,0.65,0.62,2.20,6.20,5.96
blissful,0.93,0.68,0.70,8.72,6.44,6.60
bored,-0.48,0.22,0.38,3.08,2.76,4.04
brave,0.78,0.62,0.82,8.12,5.96,7.56
calm,0.70,0.18,0.62,7.80,2.44,5.96
career,0.45,0.52,0.65,6.80,5.16,6.20
challenge,0.12,0.68,0.62,5.48,6.44,5.96
chance,0.52,0.55,0.60,7.08,5.40,5.80
cheerful,0.87,0.68,0.71,8.48,6.44,6.68
comfortable,0.75,0.30,0.66,8.00,3.40,6.28
completely,0.15,0.52,0.60,5.60,5.16,5.80
confident,0.77,0.62,0.82,8.08,5.96,7.56
confused,-0.35,0.65,0.42,3.60,6.20,4.36
content,0.78,0.35,0.65,8.12,3.80,6.20
continue,0.28,0.48,0.60,6.12,4.84,5.80
correct,0.58,0.38,0.62,7.32,4.04,5.96
coward,-0.72,0.48,0.25,2.12,4.84,3.00
cry,-0.65,0.65,0.35,2.60,6.20,3.80
curious,0.45,0.62,0.58,6.80,5.96,5.64
danger,-0.75,0.88,0.32,2.00,8.04,3.56
defeat,-0.73,0.60,0.30,2.08,5.80,3.40
delighted,0.91,0.75,0.70,8.64,7.00,6.60
depressed,-0.85,0.45,0.28,1.40,4.60,3.24
disappointed,-0.65,0.42,0.40,2.60,4.36,4.20
discouraged,-0.68,0.48,0.37,2.28,4.84,3.96
disgusting,-0.78,0.72,0.42,1.88,6.76,4.36
doubtful,-0.38,0.52,0.43,3.48,5.16,4.44
dreadful,-0.79,0.67,0.33,1.84,6.36,3.64
dream,0.48,0.45,0.50,6.92,4.60,5.00
ecstatic,0.94,0.92,0.78,8.76,8.36,7.24
elated,0.92,0.87,0.76,8.68,7.96,7.08
embarrassed,-0.58,0.72,0.38,3.32,6.76,4.04
enraged,-0.85,0.93,0.80,1.40,8.44,7.40
enthusiastic,0.88,0.85,0.75,8.52,7.80,7.00
envious,-0.52,0.62,0.50,2.92,5.96,5.00
error,-0.55,0.52,0.42,3.20,5.16,4.36
excellent,0.88,0.70,0.75,8.52,6.60,7.00
exclude,-0.72,0.65,0.35,2.12,6.20,3.80
excited,0.85,0.88,0.73,8.40,8.04,6.84
exhausted,-0.52,0.45,0.32,2.92,4.60,3.56
extremely,0.12,0.75,0.55,5.48,7.00,5.40
fail,-0.78,0.65,0.32,1.88,6.20,3.56
failure,-0.78,0.62,0.32,1.88,5.96,3.56
fair,0.65,0.35,0.68,7.60,3.80,6.44
family,0.75,0.52,0.62,8.00,5.16,5.96
fantastic,0.92,0.80,0.76,8.68,7.40,7.08
fearful,-0.72,0.82,0.30,2.12,7.56,3.40
fine,0.68,0.35,0.60,7.72,3.80,5.80
finish,0.68,0.52,0.68,7.72,5.16,6.44
fire,-0.70,0.85,0.35,2.20,7.80,3.80
